variable,missing_count,missing_rate_pct
country,0,0.0
year,0,0.0
status,0,0.0
life_expectancy,10,0.3403675970047651
adult_mortality,10,0.3403675970047651
infant_deaths,0,0.0
alcohol,194,6.603131381892443
percentage_expenditure,0,0.0
hepatitis_b,553,18.82232811436351
measles,0,0.0
bmi,34,1.1572498298162015
under_five_deaths,0,0.0
polio,19,0.6466984343090538
total_expenditure,226,7.6923076923076925
diphtheria,19,0.6466984343090538
hiv_aids,0,0.0
gdp,448,15.248468345813478
population,652,22.19196732471069
thinness_1_19_years,34,1.1572498298162015
thinness_5_9_years,34,1.1572498298162015
income_composition_of_resources,167,5.684138869979578
schooling,163,5.547991831177672
